Station Name,avg_pm25,avg_pm10,avg_no2,avg_no,avg_nox,pressure_score,pressure_class
"Mazgaon, Mumbai - IITM",48.9755846833501,93.69793525080185,47.92112488930061,11.855665833400062,63.47999933303069,70.80868544057745,HIGH
"Malad West, Mumbai - IITM",39.08246975084529,114.69722356392411,30.54039343092053,15.835589256789618,33.030880756828665,46.302257384178965,MODERATE
"Bandra Kurla Complex, Mumbai - MPCB",42.620333073872764,110.43023497001742,30.035014609600637,23.110652829855052,35.53173783602223,45.29988658882877,MODERATE
"Sion, Mumbai - MPCB",36.14351125974118,91.80357038822214,32.128837482344316,27.044860089428262,62.95772630463962,43.06757397974508,MODERATE
"Chakala-Andheri East, Mumbai - IITM",37.62060142535144,91.91600362644654,45.43848960774659,14.433280069396764,35.204539078987835,42.28439055685747,MODERATE
"Kherwadi_Bandra East, Mumbai - MPCB",38.22727288583247,93.65993778509049,28.70369951266655,25.793720582036823,35.311465256297254,41.23125760287278,MODERATE
"Vasai West, Mumbai - MPCB",27.607018150241288,91.84742483987125,22.00473228952576,40.834400795606534,62.733028707754606,41.14709786379161,MODERATE
"Borivali East, Mumbai - IITM",40.232123772323895,88.50470471469383,49.868448858578674,7.045206731162346,21.108824433747095,41.01565631427497,MODERATE
"Navy Nagar-Colaba, Mumbai - IITM",39.366988576275624,94.69508640471142,47.476344849728356,9.06998144457632,22.54223819713323,40.96807366117415,MODERATE
"Deonar, Mumbai - IITM",43.15189104621292,119.44083533194801,21.252099130434154,14.698248629538371,36.89759252928017,40.59947709911902,MODERATE
"Siddharth Nagar-Worli, Mumbai - IITM",44.489766681624324,93.40981724421123,35.95692136307264,5.438712072268478,19.33726951168675,40.14816190446549,MODERATE
"Bandra Kurla Complex, Mumbai - IITM",35.00594419687295,105.47236457579805,20.526307596803623,30.745878913870627,46.45067777705557,38.810358304937175,MODERATE
"Shivaji Nagar, Mumbai - BMC",41.17145766883778,99.9074127430792,27.72423340706087,9.892443752364155,21.085392677668843,38.478808999301,MODERATE
"Mulund West, Mumbai - MPCB",30.903114135845502,85.837011213969,13.59702880871025,35.920704583202244,50.965459347362035,37.65737429845721,MODERATE
"Vile Parle West, Mumbai - MPCB",28.554292798445655,91.76411981096692,26.423211927447547,17.594343477115974,39.48143295395692,36.44438353854674,MODERATE
"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",27.13805111645217,93.89554522333432,19.734485119159388,37.36470828505561,53.91459827517056,36.317213238275876,MODERATE
"Chembur, Mumbai - MPCB",37.97750438739256,83.90664531550644,31.84582974777833,4.853510734732156,20.482405884971318,35.300029239649696,MODERATE
"Kandivali East, Mumbai - MPCB",33.176366120542184,95.35789554091242,16.150888009023916,11.845555941204072,29.553035861893672,33.11743728324179,MODERATE
"Ghatkopar, Mumbai - BMC",31.29510118779481,80.05904206217159,29.391758990823796,12.728467871382053,24.121473478633796,32.593406475151774,MODERATE
"Kurla, Mumbai - MPCB",36.463335656874605,94.34939990082712,8.883498427187515,8.617580952355597,17.20458429578321,30.19869874006747,MODERATE
"Mindspace-Malad West, Mumbai - MPCB",34.449008960884655,73.79407514958956,21.852752273929436,8.562896387721391,16.195331937756777,29.315309064300354,MODERATE
"Worli, Mumbai - MPCB",35.119875069180885,87.96608001754822,11.728854855451475,12.545443584867249,19.105480738359024,28.096307487550945,MODERATE
"Byculla, Mumbai - BMC",31.50883013054178,69.29414048692244,25.86867563686412,8.084394713431372,19.41936723904123,27.99027326735929,MODERATE
"Colaba, Mumbai - MPCB",25.25019115671588,70.64405110787509,19.883290192038945,13.700247462778691,33.484967148798695,27.700746313341742,MODERATE
"Sewri, Mumbai - BMC",30.06423216502048,71.21523204504713,19.77740306646172,12.33039943490392,13.567679683690315,26.474988980813823,MODERATE
"Powai, Mumbai - MPCB",26.880689118728277,85.11023149176721,10.648435550218295,9.984487615500871,20.525615458990984,25.71751100588357,MODERATE
"Khindipada-Bhandup West, Mumbai - IITM",30.053589690751117,68.88844053034309,16.378214481996636,4.790732115288879,14.48325046329284,24.69504015499596,LOW
"Kandivali West, Mumbai - BMC",30.345457732953253,59.817327633272996,20.01662198842545,3.6753064621133507,12.905059669371768,21.558379904560958,LOW
"Borivali East, Mumbai - MPCB",23.26559846848497,64.57211424332758,7.941060702957071,16.47978048256006,22.961341564869713,21.126786148164122,LOW
"Bandra, Mumbai - MPCB",,,,,,,UNKNOWN
